,이미지,설명,가격
20,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/118190338323574-7781b2ba-42e9-48db-851c-c61fd3e9a307.jpg,"LG전자 2020 그램17 노트북 17Z995-VA50K (i5-10210U 43.1cm), NVMe 256GB, 8GB, WIN10 Home","1,663,700"
21,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/22/16/1/c749a2c0-7218-4811-a0bc-a3bf7719b0d9.jpg,"레노버 노트북 8th ThinkPad X1 CARBON-20U9000QKR (i5-10210U 35.5cm WIN10 Home), 포함, NVMe 256GB, 16GB","1,749,000"
22,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b4b2/c444850eb711a52146449212182217de8726a8e36606aed9b97690943dc0.jpg,"HP 15s-fq1075TU 최종혜택가 63만원대 4GB 무상 업그레이드 한컴오피스증정 전용키스킨증정 윈도우10프로 탑재, 8GB, 256GB SSD NVMe M.2, 포함","639,000"
23,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/112229305633054-1f672387-ea77-4222-9468-f130c16fe8f6.jpg,"LG전자 울트라기어 노트북 17U70N-PA76K 다크실버 (i7-10510U 43.1cm GTX 1650), NVMe 256GB, 8GB, WIN10 Home","1,767,800"
24,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/19/18/9/6d7bff89-ad69-4a57-b497-7eb9b499c99c.jpg,"레노버 노트북 Legion 5-15ARH (라이젠7-4800H 39.6cm GTX 1650), 미포함, NVMe 256GB, 8GB","999,000"
25,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/04/19/4/754d7e00-c977-46f4-af86-344ef0901ca4.jpg,"HP ENVY 360X 15-dr1010TX 노트북 TPN-W142 (i7-10510U 39.6cm FullHD RAM 16GB WIN10 256GB NVMeSSD Geforce MX250), 포함, SSD 256GB","1,450,600"
26,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/06/10/3/73133378-d6e0-43f1-b928-4f89c28bc51d.jpg,"레노버 아이디어패드 노트북 플래티넘그레이 S340-13IML 5D (10세대 i5-10210U 33.7cm WIN10), 포함, SSD 256GB, 8GB","741,120"
27,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/20/9/6/0f0643a3-9fbe-43f1-81cb-0ea578b4d747.jpg,"LG전자 울트라 PC 노트북 17UD70N-GX56K 다크실버 (i5-10210U 43.1cm), NVMe 256GB, 8GB, Free DOS","1,079,100"
28,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/06/18/8/c0433644-48e0-4422-b7cc-5b78b475a52e.jpg,"에이수스 젠북15 스크린패드 UX534FAC-A9122T (10세대 코어i5-10210U 39.62cm WIN10) 아이시클 실버, 포함, 512GB, 8GB","1,049,000"
29,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/21/11/4/7971478d-23e3-4e63-872d-c89d057a200f.jpg,"LG전자 2020 울트라 PC 노트북 15U50N-GR56K 화이트 (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home","934,200"
30,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/12/16/7/aac8e1a6-526a-4864-bd2c-c6eb1c0dcf64.jpg,"HP 노트북 스노우 화이트 14s-dq1092TU (i3-1005G1 35.6cm WIN10), 포함, SSD 256GB, 4GB","529,000"
31,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/17/15/9/57b53dc1-6618-4103-92fb-f881b7ce8e2d.jpg,"에이수스 비보북 Flip 14 노트북 TM420IA-EC029T (라이젠5-4500U 35.56cm WIN10 Home) + 펜, 포함, NVMe 512GB, 8GB","899,000"
32,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/113003680586605-985303a3-f412-4511-95aa-8d6d5b380626.jpg,"LG전자 울트라기어 노트북 15U70N-PR56K (i5-10210U 39.6cm GTX 1050) + HDMI 2.0 케이블 + 마우스 패드, NVMe 256GB, 8GB, WIN10 Home","1,399,000"
33,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/08/13/9/6f340e29-5398-4f7c-814c-9e3e98ce7a04.jpg,"아이뮤즈 스톰북 노트북 퓨어화이트 STORMBOOK (Celeron N3350 35.814cm WIN10), 포함, eMMC 64GB, 4GB","268,770"
34,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/06/17/2/52b6388b-787d-49fe-9892-3618a160cced.jpg,"삼성전자 노트북 Plus NT550XCR-AD2A 퓨어 화이트 (펜티엄골드 6405U 39.6cm), NVMe 256GB, 4GB, WIN10 Home","759,000"
35,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/20/14/8/83252c51-61c3-4452-847e-9688cd5cb2e1.jpg,"마이크로소프트 노트북 서피스 프로7 매트 블랙 PUV-00023 (i5-1035G4 31.2cm WIN10 Home), 포함, SSD 256GB, 8GB","1,371,800"
36,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/22/11/6/4c86bfa9-b1fc-4603-9e99-56dd144cb890.jpg,"MSI 프레스티지 A10SC 노트북 (10세대 i7-10710U 39cm WIN미포함 GTX 1650 4GB), 미포함, NVMe 256GB, 8GB","1,399,000"
37,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4102/41278b02f9b788925a5693b6219386ad2fab0107a45e550b31f2aacc5c6e.jpg,"HP 엘리트북 820 G1 4세대 i7 인텔HD 12.5인치 윈도우10, 8GB, SSD 256GB, 포함","359,000"
38,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/09/18/8/f8b7f87d-1fe3-4c5f-bc33-1848cf54fed0.jpg,"LG전자 울트라북 노트북 15U490-GA76K (라이젠7 2700U 39.62cm), SSD 256GB, 8GB, WIN10 Home","898,990"
39,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/08/14/12/6/a9e4d728-f8ce-4745-b281-3a249ebe779a.jpg,"HP 엘리트북 노트북 X360 830 G6-7RA56PA (i7-8565U 33.8cm), 256GB, 8GB, WIN10 Pro","1,449,000"
40,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9495/cecf9dd81aaadac96ff4586a37a6c1d777fabc8daa366bb4a702ae533918.jpg,"디클 클릭북 D15 화이트 15인치/쿼드코어/8G/m.2 128G/프리도스, 8GB, m.2 128GB, 프리도스","349,000"
41,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/22/10/1/866324b1-a1f8-493c-9f03-fc87c45049fd.jpg,"LG전자 울트라PC 17U70N-GA36K (i3-10110U 43.1cm), NVMe 512GB, 8GB, WIN10 Home","1,195,100"
42,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/74613923885691-0f483cd0-678c-4184-b231-58b98f519a16.jpg,"LG전자 그램14 노트북 14ZD995-GX50K 스노우 화이트 (i5-10210U 35.5cm), NVMe 256GB, 8GB, Free DOS","1,223,400"
43,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/695c/26be5802000b09e8a2f7b05ba0a867cbc84257351e59552db942adbf0eff.jpg,"삼성전자 삼성노트북 슬림 i5-4세대 8G SSD256G 13인치 WIN10, 8GB, SSD 256GB, 포함","529,000"
44,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/19/18/4/27317888-d538-4848-b760-e144e3006cb2.jpg,"레노버 노트북 Legion 5i-17IMH Ultra (i7-10750H 43.9cm WIN10 Pro RTX 2060), 포함, NVMe 256GB, 8GB","1,709,000"
45,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/27/15/0/179dcab1-e323-4448-8608-4352ff087f52.jpg,"마이크로스프트 서피스고2 노트북 라이트차콜 (Intel Core m3 26.6cm WIN10 Home S HD Graphics615 LTE), 포함, SSD 128GB, 8GB","1,040,450"
46,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/11/14/5/13e16b65-fea1-4640-94df-baa2d406ced8.jpg,"아이뮤즈 스톰북 14 노트북 (펜티엄-N3350 36cm WIN미포함 RAM 4GB 64GB), 미포함, 64GB","217,550"
47,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/13/10/8/5e8deb97-5d9c-4de0-8e0a-7763a327dbd6.jpg,"레노버 ThinkPad 노트북 E595-SOLT (라이젠3 3200U 39.6cm FHD IPS WIN미포함 Radeon RX Vega 3 Graphics), 미포함, SSD 128GB, 8GB","535,000"
48,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/08/4086001711/974d8d6d-22a3-4de5-8f60-a433b3a00d20.jpg,"델 노트북 XPS15-9570 D609X9570505KR (i7-8750H 39.6cm GTX 1050Ti 4GB), 1TB, 32GB, WIN10 Pro","2,599,000"
49,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/18/18/7/2725ed4c-629f-49e5-a5a0-e1ca37475e25.jpg,"에이수스 젠북15 아이시클 실버UX534FAC-A9104T 스크린패드 (10세대 코어i7-10510U 39.62cm WIN10 UHD Graphics 620 IPS광시야각 나노엣지디스플레이), 포함, SSD 1TB, 16GB","1,349,000"
50,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/113993044425928-69eba8c4-d120-4251-ae13-aebba4368ff6.jpg,"한성컴퓨터 노트북 아방가르드 TFG276GT (i7-9750H 43.94cm WIN미포함 UHD Graphics 630), 미포함, SSD 500GB, 16GB","1,402,200"
51,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/342123063487271-4d4ca747-a7f9-4b1d-b51c-fbfa4616b87b.jpg,"에이수스 크레이터X 노트북 X571LH-BN094T (i7-10750H 39.6cm WIN10 Home GTX 1650), 포함, NVMe 512GB, 8GB","1,119,000"
