"","title","grade","time"
"685","사냥의 시간","10","20.07.07"
"686","환상의 마로나","10","20.07.07"
"687","허트 로커","7","20.07.07"
"688","지니어스","10","20.07.07"
"689","소리꾼","10","20.07.07"
"690","장사리 : 잊혀진 영웅들","10","20.07.07"
"691","럭키","10","20.07.07"
"692","소리꾼","10","20.07.07"
"693","짱","10","20.07.07"
"694","씨민과 나데르의 별거","10","20.07.07"
"695","김씨 표류기","6","20.07.07"
"696","월-E","8","20.07.07"
"697","침입자","2","20.07.07"
"698","인베이젼 2020","3","20.07.07"
"699","#살아있다","7","20.07.07"
"700","#살아있다","2","20.07.07"
"701","나쁜 녀석들: 더 무비","8","20.07.07"
"702","#살아있다","1","20.07.07"
"703","활 : 명궁 류백원","10","20.07.07"
"704","위대한 개츠비","10","20.07.07"
"705","#살아있다","8","20.07.07"
"706","염력","4","20.07.07"
"707","사라진 시간","1","20.07.07"
"708","사라진 시간","7","20.07.07"
"709","침입자","3","20.07.07"
"710","#살아있다","1","20.07.07"
"711","침묵","9","20.07.07"
"712","더 룸","8","20.07.07"
"713","정직한 후보","10","20.07.07"
"714","#살아있다","10","20.07.07"
"715","시,나리오","8","20.07.07"
"716","조작된 도시","4","20.07.07"
"717","침입자","4","20.07.07"
"718","#살아있다","1","20.07.07"
"719","침묵","10","20.07.07"
"720","#살아있다","2","20.07.07"
"721","헬로우 고스트","10","20.07.07"
"722","다크 나이트","10","20.07.07"
"723","우리 선희","7","20.07.07"
"724","콘 에어","7","20.07.07"
"725","지푸라기라도 잡고 싶은 짐승들","7","20.07.07"
"726","서울역","1","20.07.07"
"727","시네마 천국","10","20.07.07"
"728","내안의 그놈","9","20.07.07"
"729","#살아있다","1","20.07.07"
"730","오리엔트 특급 살인","10","20.07.07"
"731","아이즈 온 미 : 더 무비","10","20.07.07"
"732","밀양","10","20.07.07"
"733","저스트 짐","4","20.07.07"
"734","히든 피겨스","10","20.07.07"
"735","동갑내기 과외하기","10","20.07.07"
"736","트랜스포머 3","1","20.07.07"
"737","#살아있다","1","20.07.07"
"738","서부전선","10","20.07.07"
"739","해피 디 데이","1","20.07.07"
"740","온워드: 단 하루의 기적","10","20.07.07"
"741","원더","10","20.07.07"
"742","리틀 포레스트","10","20.07.07"
"743","지구를 지켜라!","10","20.07.07"
"744","인히어런트 바이스","7","20.07.07"
"745","위대한 쇼맨","10","20.07.07"
"746","#살아있다","1","20.07.07"
"747","사라진 시간","2","20.07.07"
"748","#살아있다","7","20.07.07"
"749","#살아있다","1","20.07.07"
"750","고양이 케디","10","20.07.07"
"751","인비저블맨","8","20.07.07"
"752","오늘","10","20.07.07"
"753","신과 나: 100일간의 거래","10","20.07.07"
"754","위대한 쇼맨","10","20.07.07"
"755","매그니피센트 7","5","20.07.07"
"756","플로리다 프로젝트","8","20.07.07"
"757","사라진 시간","4","20.07.07"
"758","시,나리오","10","20.07.07"
"759","사라진 시간","8","20.07.07"
"760","#살아있다","1","20.07.07"
"761","#살아있다","2","20.07.07"
"762","정직한 후보","10","20.07.07"
"763","매그니피센트 7","10","20.07.07"
"764","나쁜 녀석들 : 포에버","10","20.07.07"
"765","매그니피센트 7","8","20.07.07"
"766","#살아있다","4","20.07.07"
"767","너를 만난 여름","10","20.07.07"
"768","#살아있다","10","20.07.07"
"769","캐쉬백","8","20.07.07"
"770","걸캅스","1","20.07.07"
"771","#살아있다","1","20.07.07"
"772","나랏말싸미","1","20.07.07"
"773","지금 만나러 갑니다","10","20.07.07"
"774","결백","10","20.07.07"
"775","엑시트","9","20.07.07"
"776","사도","10","20.07.07"
"777","정직한 후보","8","20.07.07"
"778","피아노의 숲","9","20.07.07"
"779","가디언즈 오브 갤럭시 VOL. 2","10","20.07.07"
"780","지구를 지켜라!","1","20.07.07"
"781","나쁜 녀석들 2","10","20.07.07"
"782","터미네이터: 다크 페이트","1","20.07.07"
"783","인투 더 샤크스톰","10","20.07.07"
"784","사라진 시간","2","20.07.07"
"785","#살아있다","2","20.07.07"
"786","#살아있다","2","20.07.07"
"787","해피 디 데이","6","20.07.07"
"788","사라진 시간","10","20.07.07"
"789","칠드런 오브 맨","10","20.07.07"
"790","#살아있다","2","20.07.07"
"791","소리꾼","1","20.07.07"
"792","온워드: 단 하루의 기적","10","20.07.07"
"793","#살아있다","8","20.07.07"
"794","침입자","10","20.07.07"
"795","써티 데이즈 오브 나이트","10","20.07.07"
"796","다크 나이트","10","20.07.07"
"797","협상","10","20.07.07"
"798","리틀 포레스트","10","20.07.07"
"799","소리꾼","10","20.07.07"
"800","#살아있다","8","20.07.07"
"801","쥬라기 월드: 폴른 킹덤","10","20.07.07"
"802","인베이젼 2020","2","20.07.07"
"803","#살아있다","1","20.07.07"
"804","국도극장","8","20.07.07"
"805","장난스런 키스","10","20.07.07"
"806","노다메 칸타빌레 Vol.1","10","20.07.07"
"807","1917","1","20.07.07"
"808","슈퍼맨이었던 사나이","10","20.07.07"
"809","#살아있다","10","20.07.07"
"810","#살아있다","1","20.07.07"
"811","기묘한 가족","10","20.07.07"
"812","#살아있다","10","20.07.07"
"813","클레멘타인","10","20.07.07"
"814","캡틴 판타스틱","10","20.07.07"
"815","세상을 바꾼 변호인","10","20.07.07"
"816","익스트랙션","10","20.07.07"
"817","클래식","10","20.07.07"
"818","봄날은 간다","8","20.07.07"
"819","#살아있다","2","20.07.07"
"820","원더","10","20.07.07"
"821","시동","8","20.07.07"
"822","#살아있다","4","20.07.07"
"823","사라진 시간","1","20.07.07"
"824","아이 필 프리티","10","20.07.07"
"825","#살아있다","10","20.07.07"
"826","시월애","10","20.07.07"
"827","사라진 시간","3","20.07.07"
"828","매그니피센트 7","8","20.07.07"
"829","#살아있다","1","20.07.07"
"830","1408","10","20.07.07"
"831","소리꾼","10","20.07.07"
"832","원더","10","20.07.07"
"833","그날의 분위기","1","20.07.07"
"834","패왕별희 디 오리지널","10","20.07.07"
"835","원더","10","20.07.07"
"836","결백","2","20.07.07"
"837","원더","10","20.07.07"
"838","보랏 - 카자흐스탄 킹카의 미국 문화 빨아들이기","10","20.07.07"
"839","동갑내기 과외하기 레슨 2","7","20.07.07"
"840","적벽대전 2부 - 최후의 결전","6","20.07.07"
"841","콰이어트 플레이스","10","20.07.07"
"842","하모니","10","20.07.07"
"843","적벽대전 1부 - 거대한 전쟁의 시작","6","20.07.07"
"844","콰이어트 플레이스","10","20.07.07"
"845","결백","6","20.07.07"
"846","행복을 찾아서","9","20.07.07"
"847","다크 나이트","10","20.07.07"
"848","소리꾼","9","20.07.07"
"849","레옹","10","20.07.07"
"850","암전","8","20.07.07"
"851","결백","8","20.07.07"
"852","이퀄스","3","20.07.07"
"853","#살아있다","1","20.07.07"
"854","코드 8","2","20.07.07"
"855","소리꾼","10","20.07.07"
"856","설리: 허드슨강의 기적","5","20.07.07"
"857","언더워터","6","20.07.07"
"858","외톨이","10","20.07.07"
"859","#살아있다","1","20.07.07"
"860","#살아있다","2","20.07.07"
"861","#살아있다","1","20.07.07"
"862","메리와 마녀의 꽃","10","20.07.07"
"863","#살아있다","1","20.07.07"
"864","원더","2","20.07.07"
"865","#살아있다","8","20.07.07"
"866","#살아있다","5","20.07.07"
"867","트로이","10","20.07.07"
"868","사라진 시간","5","20.07.07"
"869","더 시크릿 하우스","9","20.07.07"
"870","침입자","3","20.07.07"
"871","인디펜던스 데이: 리써전스","1","20.07.07"
"872","소리꾼","8","20.07.07"
"873","고지전","10","20.07.07"
"874","프리퀀시","10","20.07.07"
"875","관상","5","20.07.07"
"876","세 얼간이","10","20.07.07"
"877","라이프","9","20.07.07"
"878","세이프 하우스","6","20.07.07"
"879","워크래프트: 전쟁의 서막","10","20.07.07"
"880","열혈형사","1","20.07.07"
"881","소리꾼","2","20.07.07"
"882","아이즈 와이드 셧","7","20.07.07"
"883","인터스텔라","10","20.07.07"
"884","세븐 데이즈","1","20.07.07"
"885","버즈 오브 프레이(할리 퀸의 황홀한 해방)","9","20.07.07"
"886","저수지의 개들","6","20.07.07"
"887","터미네이터: 다크 페이트","10","20.07.07"
"888","카페 벨에포크","10","20.07.07"
"889","유신의 추억 - 다카키 마사오의 전성시대","1","20.07.07"
"890","날씨의 아이","10","20.07.07"
"891","스타워즈: 라이즈 오브 스카이워커","10","20.07.07"
"892","기억의 밤","10","20.07.07"
"893","사라진 시간","1","20.07.07"
"894","엑소시즘 오브 에밀리 로즈","8","20.07.07"
"895","열혈형사","1","20.07.07"
"896","소리꾼","2","20.07.07"
"897","의뢰인","10","20.07.07"
"898","사라진 시간","1","20.07.07"
"899","해피 디 데이","2","20.07.07"
"900","#살아있다","9","20.07.07"
"901","소리꾼","2","20.07.07"
"902","소리꾼","10","20.07.07"
"903","스타렛","9","20.07.07"
"904","순수의 시대","1","20.07.07"
"905","미스 스티븐스","10","20.07.07"
"906","끝까지 간다","10","20.07.07"
"907","82년생 김지영","10","20.07.07"
"908","사라진 시간","7","20.07.07"
"909","나만 없어 고양이","10","20.07.07"
"910","82년생 김지영","10","20.07.07"
"911","노아","10","20.07.07"
"912","소리꾼","10","20.07.07"
"913","안나 카레니나","10","20.07.07"
"914","#살아있다","2","20.07.07"
"915","#살아있다","7","20.07.07"
"916","#살아있다","4","20.07.07"
"917","소리꾼","10","20.07.07"
"918","히든 피겨스","10","20.07.07"
"919","환상의 빛","8","20.07.07"
"920","신세계","10","20.07.07"
"921","곤지암","8","20.07.07"
"922","#살아있다","1","20.07.07"
"923","#살아있다","5","20.07.07"
"924","부력","9","20.07.07"
"925","소리꾼","10","20.07.07"
"926","국도극장","10","20.07.07"
"927","굿 윌 헌팅","10","20.07.07"
"928","암전","4","20.07.07"
"929","암전","1","20.07.07"
"930","마더","10","20.07.07"
"931","킬 스위치","10","20.07.07"
"932","위대한 개츠비","10","20.07.07"
"933","예수는 역사다","10","20.07.07"
"934","악마를 보았다","10","20.07.07"
"935","#살아있다","2","20.07.07"
"936","B급 며느리","10","20.07.07"
"937","다크 나이트","10","20.07.07"
"938","암전","1","20.07.07"
"939","#살아있다","4","20.07.07"
"940","#살아있다","2","20.07.07"
"941","써니","10","20.07.07"
"942","어느 가족","9","20.07.07"
"943","야구소녀","2","20.07.07"
"944","#살아있다","2","20.07.07"
"945","다크 나이트","10","20.07.07"
"946","암전","1","20.07.07"
"947","배트맨 비긴즈","10","20.07.07"
"948","트로이","10","20.07.07"
"949","백두산","1","20.07.07"
"950","#살아있다","10","20.07.07"
"951","안나","10","20.07.07"
"952","비밀은 없다","10","20.07.07"
"953","해양경찰 마르코","6","20.07.07"
"954","#살아있다","1","20.07.07"
"955","비밀은 없다","10","20.07.07"
"956","야구소녀","1","20.07.07"
"957","오아시스","1","20.07.07"
"958","#살아있다","4","20.07.07"
"959","암전","10","20.07.07"
"960","토미리존스의 쓰리베리얼","8","20.07.07"
"961","식스 센스","10","20.07.07"
"962","돈","2","20.07.07"
"963","나쁜 남자","1","20.07.07"
"964","악마를 보았다","7","20.07.07"
"965","침입자","1","20.07.07"
"966","미세스 다웃파이어","10","20.07.07"
"967","공조","10","20.07.07"
"968","톰보이","10","20.07.07"
"969","#살아있다","2","20.07.07"
"970","#살아있다","9","20.07.07"
"971","위대한 쇼맨","10","20.07.07"
"972","욕창","10","20.07.07"
"973","다크 나이트","10","20.07.07"
"974","양들의 침묵","10","20.07.07"
"975","조폭 마누라 2 - 돌아온 전설","10","20.07.07"
"976","결백","9","20.07.07"
"977","엔딩스 비기닝스","4","20.07.07"
"978","버닝","2","20.07.07"
"979","로봇 앤 프랭크","10","20.07.07"
"980","결백","7","20.07.07"
"981","4교시 추리영역","2","20.07.07"
"982","트롤: 월드 투어","10","20.07.07"
"983","결백","1","20.07.07"
"984","두 개의 사랑","1","20.07.07"
"985","반쪽의 이야기","8","20.07.07"
"986","#살아있다","7","20.07.07"
"987","소리꾼","4","20.07.07"
"988","헬로우 고스트","10","20.07.07"
"989","스파이더맨: 뉴 유니버스","9","20.07.07"
"990","캣츠토피아","1","20.07.07"
"991","디스 민즈 워","10","20.07.07"
"992","이끼","8","20.07.07"
"993","온워드: 단 하루의 기적","6","20.07.07"
"994","이끼","10","20.07.07"
"995","#살아있다","2","20.07.07"
"996","버닝","10","20.07.07"
"997","#살아있다","5","20.07.07"
"998","아카시아","10","20.07.07"
"999","6 언더그라운드","7","20.07.07"
"1000","플립","9","20.07.07"
